Peak_No,2theta_exp,Intensity,2theta_theory,Delta_2theta,hkl,Status
1,31.92,1981,31.77,0.15000000000000213,100,Matched
2,34.56,1433,34.42,0.14000000000000057,002,Matched
3,36.4,3241,36.25,0.14999999999999858,101,Matched
4,47.68,661,47.54,0.14000000000000057,102,Matched
5,56.72,1109,56.6,0.11999999999999744,110,Matched
6,62.96,836,62.86,0.10000000000000142,103,Matched
7,68.08,745,67.96,0.12000000000000455,112,Matched
8,69.2,401,69.1,0.10000000000000853,201,Matched
9,89.68,241,89.6,0.0800000000000125,203,Matched
10,95.4,228,95.2,0.20000000000000284,211,Matched
11,104.2,169,104.1,0.10000000000000853,212,Matched
12,116.32,237,116.2,0.11999999999999034,205,Matched
